                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.96974,                0.50161,                0.89316,                  0.918,                0.95078,                0.97574,                0.64183,                 1.1213,                0.55742,                0.95122,              0.0014555,              0.0014555,              0.0014555
                     25,                 1.0137,                0.50407,                0.88454,                0.93945,                0.93524,                0.97814,                0.64385,                 1.1288,                0.54405,                0.95479,              0.0014307,              0.0014307,              0.0014307
                     26,                 0.9943,                 0.5066,                0.88958,                0.91481,                0.95616,                0.97295,                0.65334,                 1.1086,                0.54967,                0.95224,               0.001406,               0.001406,               0.001406
                     27,                0.98526,                0.49698,                0.88048,                0.91995,                0.93425,                0.96954,                0.66116,                 1.0963,                 0.5457,                0.95089,              0.0013813,              0.0013813,              0.0013813
                     28,                 0.9587,                0.49408,                 0.8702,                0.91722,                 0.9411,                0.97434,                0.66597,                 1.0862,                0.55554,                0.94785,              0.0013565,              0.0013565,              0.0013565
                     29,                0.96104,                 0.4979,                0.87388,                0.92906,                0.91781,                0.96694,                0.65774,                 1.0921,                0.54178,                0.95564,              0.0013318,              0.0013318,              0.0013318
                     30,                0.96232,                0.49344,                0.88412,                 0.9071,                0.93632,                0.96631,                0.65996,                 1.0911,                0.54867,                0.95396,               0.001307,               0.001307,               0.001307
                     31,                0.95377,                0.49471,                0.88156,                0.93068,                0.95068,                0.97948,                0.67022,                 1.0936,                0.53627,                0.96113,              0.0012822,              0.0012822,              0.0012822
                     32,                0.91128,                0.47531,                0.87005,                0.89084,                0.93905,                0.96865,                0.64914,                 1.1153,                0.55891,                0.95864,              0.0012575,              0.0012575,              0.0012575
                     33,                0.94894,                 0.4778,                0.86955,                0.92311,                0.93699,                0.97705,                0.64592,                 1.1388,                0.55916,                0.96434,              0.0012328,              0.0012328,              0.0012328
                     34,                 0.9755,                0.49959,                0.87955,                0.89771,                 0.9589,                0.97471,                0.66046,                 1.0937,                0.53724,                0.94492,               0.001208,               0.001208,               0.001208
                     35,                0.94386,                0.47349,                0.87155,                0.93636,                 0.9271,                0.98191,                0.67237,                 1.0738,                0.53372,                0.93807,              0.0011833,              0.0011833,              0.0011833
                     36,                0.94555,                0.47206,                0.86717,                0.93428,                0.93482,                0.98209,                0.66471,                 1.0854,                0.53595,                0.94246,              0.0011585,              0.0011585,              0.0011585
                     37,                0.91317,                0.46388,                0.87062,                0.91016,                0.95342,                0.98005,                0.66133,                 1.0947,                0.52825,                0.94565,              0.0011337,              0.0011337,              0.0011337
                     38,                0.92943,                0.47127,                0.86181,                0.91116,                0.92732,                 0.9717,                0.65276,                 1.1285,                 0.5424,                0.94926,               0.001109,               0.001109,               0.001109
                     39,                0.88308,                0.45958,                0.86336,                0.93116,                0.92654,                0.97978,                0.66957,                 1.0883,                0.51835,                0.94454,              0.0010842,              0.0010842,              0.0010842
                     40,                0.89334,                0.45488,                0.87035,                0.95464,                0.92259,                0.97991,                0.67172,                 1.0985,                0.52459,                0.94653,              0.0010595,              0.0010595,              0.0010595
                     41,                0.89306,                0.45961,                0.87261,                0.92943,                0.93813,                0.97143,                0.65407,                 1.1035,                0.53991,                 0.9522,              0.0010347,              0.0010347,              0.0010347
                     42,                0.88023,                0.44955,                0.86807,                0.93483,                0.93699,                 0.9771,                0.65389,                 1.1342,                0.53587,                0.95546,                0.00101,                0.00101,                0.00101
                     43,                0.88512,                 0.4586,                0.86077,                0.96831,                0.92097,                0.98437,                0.65946,                 1.1053,                0.52184,                0.95424,             0.00098525,             0.00098525,             0.00098525
                     44,                0.88474,                 0.4578,                0.86519,                0.95472,                0.92417,                0.98089,                0.67039,                 1.1115,                0.51496,                0.95224,              0.0009605,              0.0009605,              0.0009605
                     45,                0.87691,                0.44921,                0.86422,                0.96789,                0.90137,                0.97808,                0.66089,                 1.1225,                0.51626,                0.95341,             0.00093575,             0.00093575,             0.00093575
                     46,                0.87439,                 0.4504,                0.85502,                0.92987,                0.94443,                0.97854,                0.65636,                 1.1174,                0.50687,                0.95559,               0.000911,               0.000911,               0.000911
                     47,                0.87255,                0.44465,                0.86813,                0.92352,                0.92633,                0.97393,                0.66195,                 1.1049,                0.51613,                  0.956,             0.00088625,             0.00088625,             0.00088625
                     48,                0.85657,                0.45097,                0.86537,                0.93207,                0.92877,                  0.974,                0.66344,                  1.111,                0.52335,                0.96016,              0.0008615,              0.0008615,              0.0008615
                     49,                0.87467,                0.44774,                0.86766,                0.91862,                 0.9278,                0.97135,                0.65951,                 1.0964,                0.51968,                0.96027,             0.00083675,             0.00083675,             0.00083675
                     50,                0.85662,                0.43837,                0.85792,                 0.9326,                0.90975,                0.97291,                0.64627,                  1.157,                0.53396,                0.96476,               0.000812,               0.000812,               0.000812
                     51,                0.88904,                0.44974,                0.85907,                0.94776,                0.90685,                0.97111,                0.66225,                 1.1173,                0.51748,                0.96325,             0.00078725,             0.00078725,             0.00078725
                     52,                0.85192,                0.43834,                0.86596,                 0.9223,                0.94311,                0.97627,                0.67161,                  1.101,                0.50617,                0.96143,              0.0007625,              0.0007625,              0.0007625
                     53,                0.84324,                0.43355,                0.86246,                0.92789,                0.94795,                0.97619,                0.67444,                  1.088,                0.50319,                0.95134,             0.00073775,             0.00073775,             0.00073775
                     54,                0.80819,                 0.4255,                0.86026,                0.93138,                0.94521,                0.97654,                0.66392,                 1.1075,                0.50793,                0.95106,               0.000713,               0.000713,               0.000713
                     55,                0.82124,                0.42795,                0.85201,                0.95051,                0.92603,                0.97693,                0.66644,                 1.1055,                0.50644,                0.94467,             0.00068825,             0.00068825,             0.00068825
                     56,                0.83976,                0.42616,                0.85561,                0.94997,                0.94521,                0.98307,                0.67131,                 1.1001,                  0.504,                 0.9436,              0.0006635,              0.0006635,              0.0006635
                     57,                0.79961,                0.41569,                0.85136,                0.95532,                0.93727,                0.98357,                0.67046,                 1.0851,                0.49256,                0.93856,             0.00063875,             0.00063875,             0.00063875
                     58,                0.79515,                0.41092,                0.84093,                0.92141,                0.96164,                0.98214,                0.66565,                 1.1129,                0.50952,                0.94155,               0.000614,               0.000614,               0.000614
                     59,                0.78902,                0.41403,                 0.8516,                 0.9328,                0.95068,                0.97844,                0.67407,                 1.0834,                0.49957,                0.94318,             0.00058925,             0.00058925,             0.00058925
                     60,                0.81977,                0.42723,                0.86052,                0.94362,                0.94521,                0.97789,                0.66221,                 1.1169,                0.50645,                0.95182,              0.0005645,              0.0005645,              0.0005645
                     61,                0.81952,                0.42031,                0.84899,                0.94986,                0.93699,                0.97983,                0.66657,                 1.1112,                0.50402,                0.94698,             0.00053975,             0.00053975,             0.00053975
                     62,                0.78458,                0.41749,                0.85145,                0.94466,                0.93543,                0.98099,                0.66928,                   1.09,                0.50724,                0.95061,               0.000515,               0.000515,               0.000515
                     63,                0.77519,                0.40584,                0.85122,                0.94358,                0.93425,                0.97647,                0.67301,                 1.0794,                 0.5012,                  0.944,             0.00049025,             0.00049025,             0.00049025
                     64,                0.80214,                0.41068,                0.85376,                0.93425,                0.94795,                0.97802,                0.66714,                 1.1044,                 0.5019,                0.94802,              0.0004655,              0.0004655,              0.0004655
                     65,                0.76915,                 0.4092,                0.84893,                0.94583,                0.95666,                0.98156,                0.67452,                  1.102,                0.49212,                0.94863,             0.00044075,             0.00044075,             0.00044075
                     66,                0.76494,                0.39555,                0.83599,                0.94864,                0.96151,                0.98177,                0.66847,                 1.1001,                0.50378,                0.94825,               0.000416,               0.000416,               0.000416
                     67,                0.78668,                0.41031,                0.85498,                0.93118,                0.96379,                0.97826,                0.66005,                 1.1202,                0.50741,                 0.9505,             0.00039125,             0.00039125,             0.00039125
                     68,                0.75802,                 0.4009,                0.85036,                0.93296,                0.95616,                0.97945,                0.67304,                 1.0894,                0.50025,                 0.9499,              0.0003665,              0.0003665,              0.0003665
                     69,                0.77812,                0.40631,                0.85348,                0.92586,                0.95792,                0.97921,                 0.6738,                  1.087,                0.49453,                0.94813,             0.00034175,             0.00034175,             0.00034175
                     70,                0.73316,                0.38525,                0.83959,                0.95255,                 0.9349,                0.97738,                0.66441,                 1.0977,                0.50233,                0.94838,               0.000317,               0.000317,               0.000317
                     71,                0.77943,                0.40387,                0.85238,                0.94162,                 0.9279,                0.97343,                0.65951,                  1.109,                0.51161,                 0.9587,             0.00029225,             0.00029225,             0.00029225
                     72,                0.77077,                0.39484,                0.85849,                0.93437,                0.92603,                0.97325,                0.66602,                 1.0939,                0.49568,                0.95879,              0.0002675,              0.0002675,              0.0002675
                     73,                0.76073,                0.38416,                0.84713,                0.91336,                0.95314,                0.97469,                0.66954,                 1.0969,                0.50199,                0.95645,             0.00024275,             0.00024275,             0.00024275
                     74,                0.75824,                0.38528,                0.84105,                0.91599,                0.93425,                0.97512,                0.66569,                 1.0946,                0.50303,                0.95701,               0.000218,               0.000218,               0.000218
                     75,                0.74812,                0.38344,                0.85135,                0.92545,                0.93973,                0.97452,                0.66909,                 1.0775,                0.49598,                0.95653,             0.00019325,             0.00019325,             0.00019325
                     76,                0.74326,                0.38795,                0.83923,                0.92708,                0.93973,                0.97412,                0.66327,                 1.0943,                0.49887,                0.95622,              0.0001685,              0.0001685,              0.0001685
                     77,                0.74376,                0.37862,                 0.8387,                0.93076,                0.93699,                0.97398,                0.66751,                 1.0808,                0.49687,                0.95236,             0.00014375,             0.00014375,             0.00014375
                     78,                0.72715,                   0.38,                0.83941,                0.94454,                0.93328,                 0.9787,                0.67136,                 1.0812,                0.49311,                0.95488,               0.000119,               0.000119,               0.000119
                     79,                 0.7153,                0.37373,                0.83019,                0.93609,                0.93151,                0.97836,                0.67038,                 1.0935,                 0.4898,                0.95384,              9.425e-05,              9.425e-05,              9.425e-05
                     80,                0.72353,                0.37292,                 0.8459,                0.93709,                0.92877,                0.97541,                0.66479,                 1.0949,                0.49887,                0.95691,               6.95e-05,               6.95e-05,               6.95e-05
