                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8208,                 1.2866,                 1.1045,                0.92798,                0.81189,                0.89833,                0.48859,                 1.4654,                0.84757,                 1.0548,              0.0006619,              0.0006619,              0.0006619
                      2,                 1.3595,                0.83783,                0.95597,                0.88124,                0.88219,                0.93289,                0.55875,                 1.2731,                 0.7549,                 1.0022,              0.0013121,              0.0013121,              0.0013121
                      3,                 1.3016,                0.73917,                0.96447,                0.95163,                0.86575,                0.95218,                 0.5725,                 1.2557,                0.72072,                0.99536,              0.0019459,              0.0019459,              0.0019459
                      4,                   1.26,                0.69512,                0.97078,                0.91466,                0.88089,                0.94474,                0.59069,                 1.2056,                0.68386,                0.97151,              0.0019258,              0.0019258,              0.0019258
                      5,                 1.2026,                0.67237,                0.92727,                0.92682,                0.90685,                0.96094,                 0.6126,                  1.135,                0.65797,                0.98029,              0.0019258,              0.0019258,              0.0019258
                      6,                 1.2019,                0.64711,                0.92802,                0.90839,                0.92365,                0.96083,                0.60931,                 1.1414,                0.63914,                0.96467,               0.001901,               0.001901,               0.001901
                      7,                 1.1293,                0.61395,                0.90054,                0.92087,                 0.9246,                0.95688,                0.60301,                 1.1608,                0.65072,                 0.9676,              0.0018763,              0.0018763,              0.0018763
                      8,                 1.1464,                0.62314,                 0.9213,                0.92292,                0.88568,                0.96351,                0.61695,                 1.1442,                0.61898,                 0.9616,              0.0018515,              0.0018515,              0.0018515
                      9,                 1.1639,                0.62055,                0.92563,                0.92997,                0.90959,                0.96844,                0.61292,                 1.1496,                0.62213,                0.96268,              0.0018267,              0.0018267,              0.0018267
                     10,                 1.1094,                0.59067,                0.90639,                0.90395,                0.92055,                0.96907,                0.62497,                 1.1451,                0.59568,                0.96106,               0.001802,               0.001802,               0.001802
                     11,                 1.0732,                0.56326,                 0.9146,                0.89162,                0.94667,                0.97135,                0.63478,                 1.1325,                0.58479,                0.96259,              0.0017772,              0.0017772,              0.0017772
                     12,                 1.0805,                0.60315,                0.89148,                0.93495,                0.94512,                0.97841,                0.64549,                 1.1054,                0.58263,                0.94267,              0.0017525,              0.0017525,              0.0017525
                     13,                 1.0796,                0.55834,                0.89943,                0.92035,                0.94978,                0.97216,                0.65798,                 1.0948,                0.57403,                0.94614,              0.0017278,              0.0017278,              0.0017278
                     14,                 1.0667,                0.54173,                0.89305,                0.90637,                0.95068,                0.97288,                0.63276,                 1.1659,                0.58393,                0.94939,               0.001703,               0.001703,               0.001703
                     15,                 1.0747,                0.55852,                0.90372,                0.93358,                0.92426,                 0.9705,                0.63263,                 1.1398,                0.57859,                0.96979,              0.0016783,              0.0016783,              0.0016783
                     16,                  1.066,                0.55131,                0.90527,                0.91162,                0.92329,                0.97085,                0.64361,                 1.1184,                0.57711,                0.96862,              0.0016535,              0.0016535,              0.0016535
                     17,                 1.0704,                0.56433,                0.90536,                0.90573,                0.94761,                0.97719,                0.64804,                 1.1312,                0.56121,                0.96569,              0.0016287,              0.0016287,              0.0016287
                     18,                  1.042,                0.53139,                0.89058,                0.88833,                0.95068,                0.97023,                0.64373,                 1.1219,                0.57315,                0.96072,               0.001604,               0.001604,               0.001604
                     19,                 1.0373,                0.52773,                0.88511,                0.92355,                0.92674,                0.96938,                 0.6433,                 1.1019,                0.56501,                0.94788,              0.0015793,              0.0015793,              0.0015793
                     20,                 1.0038,                0.52218,                0.88017,                0.91722,                0.93973,                0.97754,                0.64445,                 1.1334,                0.56778,                0.95049,              0.0015545,              0.0015545,              0.0015545
                     21,                 1.0439,                 0.5307,                 0.8865,                0.91128,                0.93699,                0.97274,                  0.652,                 1.1079,                0.56655,                0.95528,              0.0015298,              0.0015298,              0.0015298
                     22,                 1.0155,                0.51555,                0.89138,                0.92535,                0.95092,                0.97704,                0.66093,                 1.1052,                0.55307,                0.95232,               0.001505,               0.001505,               0.001505
                     23,                0.97402,                0.50335,                0.88185,                0.92382,                 0.9726,                0.97811,                0.64134,                 1.1234,                 0.5519,                0.95473,              0.0014803,              0.0014803,              0.0014803
